estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
340,354,16,"(4,)","(256,)",1,2.6765454545454545e-05,1119.9830232321174,Trip_Count
341,354,16,"(4, 2694)","(1, 256)",676,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
342,354,16,"(4, 2694)","(2, 4)",1348,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
343,354,16,"(4, 2694)","(2, 8)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
344,354,16,"(4, 2694)","(2, 16)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
345,354,16,"(4, 2694)","(2, 32)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
346,354,16,"(4, 2694)","(2, 64)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
347,354,16,"(4, 2694)","(2, 128)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
348,354,16,"(4, 2694)","(4, 2)",1347,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
349,354,16,"(4, 2694)","(4, 4)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
350,354,16,"(4, 2694)","(4, 8)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
351,354,16,"(4, 2694)","(4, 16)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
352,354,16,"(4, 2694)","(4, 32)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
353,354,16,"(4, 2694)","(4, 64)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
354,354,32,"(4,)","(8,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
355,354,32,"(4, 2694)","(1, 8)",1348,6.711818181818182e-06,4466.279313287281,"Launch_Tax, Compute"
356,354,32,"(4,)","(16,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
357,354,32,"(4, 2694)","(1, 16)",676,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
358,354,32,"(4,)","(32,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
359,354,32,"(4, 2694)","(1, 32)",340,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
360,354,32,"(4,)","(64,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
361,354,32,"(4, 2694)","(1, 64)",340,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
362,354,32,"(4,)","(128,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
363,354,32,"(4, 2694)","(1, 128)",340,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
364,354,32,"(4,)","(256,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
365,354,32,"(4, 2694)","(1, 256)",340,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
366,354,32,"(4, 2694)","(2, 4)",1348,6.711818181818182e-06,4466.279313287281,"Launch_Tax, Compute"
367,354,32,"(4, 2694)","(2, 8)",674,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
368,354,32,"(4, 2694)","(2, 16)",338,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
369,354,32,"(4, 2694)","(2, 32)",338,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
370,354,32,"(4, 2694)","(2, 64)",338,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
371,354,32,"(4, 2694)","(2, 128)",338,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
372,354,32,"(4, 2694)","(4, 2)",1347,6.711818181818182e-06,4466.279313287281,"Launch_Tax, Compute"
373,354,32,"(4, 2694)","(4, 4)",674,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
374,354,32,"(4, 2694)","(4, 8)",337,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
375,354,32,"(4, 2694)","(4, 16)",337,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
376,354,32,"(4, 2694)","(4, 32)",337,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
377,354,32,"(4, 2694)","(4, 64)",337,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
378,354,8,"(4,)","(8,)",1,1.6352272727272727e-05,1833.1919482974288,Trip_Count
379,354,8,"(4, 2694)","(1, 8)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
380,354,8,"(4,)","(16,)",1,1.6352272727272727e-05,1833.1919482974288,Trip_Count
381,354,8,"(4, 2694)","(1, 16)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
382,354,8,"(4,)","(32,)",1,1.6352272727272727e-05,1833.1919482974288,Trip_Count
383,354,8,"(4, 2694)","(1, 32)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
384,354,8,"(4,)","(64,)",1,1.6352272727272727e-05,1833.1919482974288,Trip_Count
385,354,8,"(4, 2694)","(1, 64)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
386,354,8,"(4,)","(128,)",1,1.6352272727272727e-05,1833.1919482974288,Trip_Count
387,354,8,"(4, 2694)","(1, 128)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
388,354,8,"(4,)","(256,)",1,1.6352272727272727e-05,1833.1919482974288,Trip_Count
389,354,8,"(4, 2694)","(1, 256)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
390,354,8,"(4, 2694)","(2, 4)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
391,354,8,"(4, 2694)","(2, 8)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
392,354,8,"(4, 2694)","(2, 16)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
393,354,8,"(4, 2694)","(2, 32)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
394,354,8,"(4, 2694)","(2, 64)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
395,354,8,"(4, 2694)","(2, 128)",1348,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
396,354,8,"(4, 2694)","(4, 2)",1347,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
397,354,8,"(4, 2694)","(4, 4)",1347,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
398,354,8,"(4, 2694)","(4, 8)",1347,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
399,354,8,"(4, 2694)","(4, 16)",1347,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
400,354,8,"(4, 2694)","(4, 32)",1347,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
