estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
44,329,8,"(3125, 3260)","(256, 1)",1274660,1506.1383652773106,0.03305739582082343,Compute
45,329,16,"(3125,)","(8,)",391,1506.240815470246,0.03305514735129254,Compute
46,329,16,"(3125, 3260)","(1, 8)",1275000,1506.2229096110125,0.03305554030827894,Compute
47,329,16,"(3125,)","(16,)",196,1506.1606896455835,0.03305690584290573,Compute
48,329,16,"(3125, 3260)","(1, 16)",637500,1506.138362571856,0.033057395880203955,Compute
49,329,16,"(3125,)","(32,)",196,1506.1606896455835,0.03305690584290573,Compute
50,329,16,"(3125, 3260)","(1, 32)",637500,1506.138362571856,0.033057395880203955,Compute
51,329,16,"(3125,)","(64,)",196,1506.1606896455835,0.03305690584290573,Compute
52,329,16,"(3125, 3260)","(1, 64)",637500,1506.138362571856,0.033057395880203955,Compute
53,329,16,"(3125,)","(128,)",196,1506.1606896455835,0.03305690584290573,Compute
54,329,16,"(3125, 3260)","(1, 128)",637500,1506.138362571856,0.033057395880203955,Compute
55,329,16,"(3125,)","(256,)",196,1506.1606896455835,0.03305690584290573,Compute
56,329,16,"(3125, 3260)","(1, 256)",637500,1506.1384219845995,0.033057394576186644,Compute
57,329,16,"(3125, 3260)","(2, 4)",1273845,1506.2227907855258,0.03305554291602109,Compute
58,329,16,"(3125, 3260)","(2, 8)",637704,1506.1384219845995,0.033057394576186644,Compute
59,329,16,"(3125, 3260)","(2, 16)",637500,1506.138362571856,0.033057395880203955,Compute
60,329,16,"(3125, 3260)","(2, 32)",637500,1506.138362571856,0.033057395880203955,Compute
61,329,16,"(3125, 3260)","(2, 64)",637500,1506.138362571856,0.033057395880203955,Compute
62,329,16,"(3125, 3260)","(2, 128)",637500,1506.138362571856,0.033057395880203955,Compute
63,329,16,"(3125, 3260)","(4, 2)",1274660,1506.2229096110125,0.03305554030827894,Compute
64,329,16,"(3125, 3260)","(4, 4)",637330,1506.138362571856,0.033057395880203955,Compute
65,329,16,"(3125, 3260)","(4, 8)",636923,1506.1383031591129,0.03305739718422137,Compute
66,329,16,"(3125, 3260)","(4, 16)",636719,1506.1383031591129,0.03305739718422137,Compute
67,329,16,"(3125, 3260)","(4, 32)",636719,1506.1383031591129,0.03305739718422137,Compute
68,329,16,"(3125, 3260)","(4, 64)",636719,1506.1383031591129,0.03305739718422137,Compute
69,329,16,"(3125, 3260)","(8, 1)",1274660,1506.2229096110125,0.03305554030827894,Compute
70,329,16,"(3125, 3260)","(8, 2)",637330,1506.138362571856,0.033057395880203955,Compute
71,329,16,"(3125, 3260)","(8, 4)",637330,1506.138362571856,0.033057395880203955,Compute
72,329,16,"(3125, 3260)","(8, 8)",636923,1506.1383031591129,0.03305739718422137,Compute
73,329,16,"(3125, 3260)","(8, 16)",636719,1506.1383031591129,0.03305739718422137,Compute
74,329,16,"(3125, 3260)","(8, 32)",636719,1506.1383031591129,0.03305739718422137,Compute
75,329,16,"(3125, 3260)","(16, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
76,329,16,"(3125, 3260)","(16, 2)",637330,1506.138362571856,0.033057395880203955,Compute
77,329,16,"(3125, 3260)","(16, 4)",637330,1506.138362571856,0.033057395880203955,Compute
78,329,16,"(3125, 3260)","(16, 8)",636923,1506.1383031591129,0.03305739718422137,Compute
79,329,16,"(3125, 3260)","(16, 16)",636719,1506.1383031591129,0.03305739718422137,Compute
80,329,16,"(3125, 3260)","(32, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
81,329,16,"(3125, 3260)","(32, 2)",637330,1506.138362571856,0.033057395880203955,Compute
82,329,16,"(3125, 3260)","(32, 4)",637330,1506.138362571856,0.033057395880203955,Compute
83,329,16,"(3125, 3260)","(32, 8)",636923,1506.1383031591129,0.03305739718422137,Compute
84,329,16,"(3125, 3260)","(64, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
85,329,16,"(3125, 3260)","(64, 2)",637330,1506.138362571856,0.033057395880203955,Compute
86,329,16,"(3125, 3260)","(64, 4)",637330,1506.138362571856,0.033057395880203955,Compute
87,329,16,"(3125, 3260)","(128, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
88,329,16,"(3125, 3260)","(128, 2)",637330,1506.138362571856,0.033057395880203955,Compute
89,329,16,"(3125, 3260)","(256, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
90,329,32,"(3125,)","(8,)",391,1506.4278072914285,0.03305104423916678,Compute
91,329,32,"(3125, 3260)","(1, 8)",1275000,1506.3919982784157,0.033051829908019636,Compute
92,329,32,"(3125,)","(16,)",196,1506.2675421148306,0.03305456083319382,Compute
93,329,32,"(3125, 3260)","(1, 16)",637500,1506.222906905558,0.03305554036765279,Compute
94,329,32,"(3125,)","(32,)",98,1506.1606896455835,0.03305690584290573,Compute
95,329,32,"(3125, 3260)","(1, 32)",318750,1506.1384138682358,0.033057394754328194,Compute
96,329,32,"(3125,)","(64,)",98,1506.1606896455835,0.03305690584290573,Compute
97,329,32,"(3125, 3260)","(1, 64)",318750,1506.1384138682358,0.033057394754328194,Compute
98,329,32,"(3125,)","(128,)",98,1506.1606896455835,0.03305690584290573,Compute
99,329,32,"(3125, 3260)","(1, 128)",318750,1506.1384138682358,0.033057394754328194,Compute
100,329,32,"(3125,)","(256,)",98,1506.1606896455835,0.03305690584290573,Compute
101,329,32,"(3125, 3260)","(1, 256)",318750,1506.1384138682358,0.033057394754328194,Compute
102,329,32,"(3125, 3260)","(2, 4)",1273845,1506.3917606274426,0.03305183512233357,Compute
103,329,32,"(3125, 3260)","(2, 8)",637704,1506.2230257310443,0.03305553775991105,Compute
104,329,32,"(3125, 3260)","(2, 16)",318852,1506.1384138682358,0.033057394754328194,Compute
105,329,32,"(3125, 3260)","(2, 32)",318750,1506.1384138682358,0.033057394754328194,Compute
106,329,32,"(3125, 3260)","(2, 64)",318750,1506.1384138682358,0.033057394754328194,Compute
107,329,32,"(3125, 3260)","(2, 128)",318750,1506.1384138682358,0.033057394754328194,Compute
108,329,32,"(3125, 3260)","(4, 2)",1274660,1506.3919982784157,0.033051829908019636,Compute
109,329,32,"(3125, 3260)","(4, 4)",637330,1506.222906905558,0.03305554036765279,Compute
110,329,32,"(3125, 3260)","(4, 8)",319056,1506.1385326937225,0.03305739214629385,Compute
111,329,32,"(3125, 3260)","(4, 16)",318852,1506.1384138682358,0.033057394754328194,Compute
112,329,32,"(3125, 3260)","(4, 32)",318750,1506.1384138682358,0.033057394754328194,Compute
113,329,32,"(3125, 3260)","(4, 64)",318750,1506.1384138682358,0.033057394754328194,Compute
114,329,32,"(3125, 3260)","(8, 1)",1274660,1506.3919982784157,0.033051829908019636,Compute
115,329,32,"(3125, 3260)","(8, 2)",637330,1506.222906905558,0.03305554036765279,Compute
116,329,32,"(3125, 3260)","(8, 4)",318665,1506.1384138682358,0.033057394754328194,Compute
117,329,32,"(3125, 3260)","(8, 8)",318665,1506.1384138682358,0.033057394754328194,Compute
118,329,32,"(3125, 3260)","(8, 16)",318461,1506.1382950427492,0.03305739736236295,Compute
119,329,32,"(3125, 3260)","(8, 32)",318360,1506.1382950427492,0.03305739736236295,Compute
120,329,32,"(3125, 3260)","(16, 1)",638960,1506.223382207504,0.03305552993668827,Compute
121,329,32,"(3125, 3260)","(16, 2)",319480,1506.138651519209,0.03305738953825992,Compute
122,329,32,"(3125, 3260)","(16, 4)",318665,1506.1384138682358,0.033057394754328194,Compute
123,329,32,"(3125, 3260)","(16, 8)",318665,1506.1384138682358,0.033057394754328194,Compute
124,329,32,"(3125, 3260)","(16, 16)",318461,1506.1382950427492,0.03305739736236295,Compute
125,329,32,"(3125, 3260)","(32, 1)",319480,1506.138651519209,0.03305738953825992,Compute
126,329,32,"(3125, 3260)","(32, 2)",319480,1506.138651519209,0.03305738953825992,Compute
127,329,32,"(3125, 3260)","(32, 4)",318665,1506.1384138682358,0.033057394754328194,Compute
128,329,32,"(3125, 3260)","(32, 8)",318665,1506.1384138682358,0.033057394754328194,Compute
129,329,32,"(3125, 3260)","(64, 1)",319480,1506.138651519209,0.03305738953825992,Compute
130,329,32,"(3125, 3260)","(64, 2)",319480,1506.138651519209,0.03305738953825992,Compute
131,329,32,"(3125, 3260)","(64, 4)",318665,1506.1384138682358,0.033057394754328194,Compute
132,329,32,"(3125, 3260)","(128, 1)",319480,1506.138651519209,0.03305738953825992,Compute
133,329,32,"(3125, 3260)","(128, 2)",319480,1506.138651519209,0.03305738953825992,Compute
134,329,32,"(3125, 3260)","(256, 1)",319480,1506.138651519209,0.03305738953825992,Compute
135,329,8,"(3125,)","(8,)",391,1506.1473195596548,0.033057199289413856,Compute
136,329,8,"(3125, 3260)","(1, 8)",1275000,1506.1383652773106,0.03305739582082343,Compute
137,329,8,"(3125,)","(16,)",391,1506.1473195596548,0.033057199289413856,Compute
138,329,8,"(3125, 3260)","(1, 16)",1275000,1506.1383652773106,0.03305739582082343,Compute
139,329,8,"(3125,)","(32,)",391,1506.1473195596548,0.033057199289413856,Compute
140,329,8,"(3125, 3260)","(1, 32)",1275000,1506.1383652773106,0.03305739582082343,Compute
141,329,8,"(3125,)","(64,)",391,1506.1473195596548,0.033057199289413856,Compute
142,329,8,"(3125, 3260)","(1, 64)",1275000,1506.1383652773106,0.03305739582082343,Compute
143,329,8,"(3125,)","(128,)",391,1506.1473195596548,0.033057199289413856,Compute
144,329,8,"(3125, 3260)","(1, 128)",1275000,1506.1383652773106,0.03305739582082343,Compute
145,329,8,"(3125,)","(256,)",391,1506.2408431647914,0.03305514674352301,Compute
146,329,8,"(3125, 3260)","(1, 256)",1275000,1506.1383949836825,0.033057395168814764,Compute
147,329,8,"(3125, 3260)","(2, 4)",1273845,1506.1383058645674,0.03305739712484084,Compute
148,329,8,"(3125, 3260)","(2, 8)",1273438,1506.1382761581958,0.03305739777684958,Compute
149,329,8,"(3125, 3260)","(2, 16)",1273438,1506.1382761581958,0.03305739777684958,Compute
150,329,8,"(3125, 3260)","(2, 32)",1273438,1506.1382761581958,0.03305739777684958,Compute
151,329,8,"(3125, 3260)","(2, 64)",1273438,1506.1382761581958,0.03305739777684958,Compute
152,329,8,"(3125, 3260)","(2, 128)",1273438,1506.1382761581958,0.03305739777684958,Compute
153,329,8,"(3125, 3260)","(4, 2)",1274660,1506.1383652773106,0.03305739582082343,Compute
154,329,8,"(3125, 3260)","(4, 4)",1273845,1506.1383058645674,0.03305739712484084,Compute
155,329,8,"(3125, 3260)","(4, 8)",1273438,1506.1382761581958,0.03305739777684958,Compute
156,329,8,"(3125, 3260)","(4, 16)",1273438,1506.1382761581958,0.03305739777684958,Compute
157,329,8,"(3125, 3260)","(4, 32)",1273438,1506.1382761581958,0.03305739777684958,Compute
158,329,8,"(3125, 3260)","(4, 64)",1273438,1506.1382761581958,0.03305739777684958,Compute
159,329,8,"(3125, 3260)","(8, 1)",1274660,1506.1383652773106,0.03305739582082343,Compute
160,329,8,"(3125, 3260)","(8, 2)",1274660,1506.1383652773106,0.03305739582082343,Compute
161,329,8,"(3125, 3260)","(8, 4)",1273845,1506.1383058645674,0.03305739712484084,Compute
162,329,8,"(3125, 3260)","(8, 8)",1273438,1506.1382761581958,0.03305739777684958,Compute
163,329,8,"(3125, 3260)","(8, 16)",1273438,1506.1382761581958,0.03305739777684958,Compute
164,329,8,"(3125, 3260)","(8, 32)",1273438,1506.1382761581958,0.03305739777684958,Compute
165,329,8,"(3125, 3260)","(16, 1)",1274660,1506.1383652773106,0.03305739582082343,Compute
166,329,8,"(3125, 3260)","(16, 2)",1274660,1506.1383652773106,0.03305739582082343,Compute
167,329,8,"(3125, 3260)","(16, 4)",1273845,1506.1383058645674,0.03305739712484084,Compute
168,329,8,"(3125, 3260)","(16, 8)",1273438,1506.1382761581958,0.03305739777684958,Compute
169,329,8,"(3125, 3260)","(16, 16)",1273438,1506.1382761581958,0.03305739777684958,Compute
170,329,8,"(3125, 3260)","(32, 1)",1274660,1506.1383652773106,0.03305739582082343,Compute
171,329,8,"(3125, 3260)","(32, 2)",1274660,1506.1383652773106,0.03305739582082343,Compute
172,329,8,"(3125, 3260)","(32, 4)",1273845,1506.1383058645674,0.03305739712484084,Compute
173,329,8,"(3125, 3260)","(32, 8)",1273438,1506.1382761581958,0.03305739777684958,Compute
174,329,8,"(3125, 3260)","(64, 1)",1274660,1506.1383652773106,0.03305739582082343,Compute
175,329,8,"(3125, 3260)","(64, 2)",1274660,1506.1383652773106,0.03305739582082343,Compute
176,329,8,"(3125, 3260)","(64, 4)",1273845,1506.1383058645674,0.03305739712484084,Compute
177,329,8,"(3125, 3260)","(128, 1)",1274660,1506.1383652773106,0.03305739582082343,Compute
178,329,8,"(3125, 3260)","(128, 2)",1274660,1506.1383652773106,0.03305739582082343,Compute
179,329,8,"(3125, 3260)","(256, 1)",1274660,1506.1383652773106,0.03305739582082343,Compute
180,329,16,"(3125,)","(8,)",391,1506.240815470246,0.03305514735129254,Compute
181,329,16,"(3125, 3260)","(1, 8)",1275000,1506.2229096110125,0.03305554030827894,Compute
182,329,16,"(3125,)","(16,)",196,1506.1606896455835,0.03305690584290573,Compute
183,329,16,"(3125, 3260)","(1, 16)",637500,1506.138362571856,0.033057395880203955,Compute
184,329,16,"(3125,)","(32,)",196,1506.1606896455835,0.03305690584290573,Compute
185,329,16,"(3125, 3260)","(1, 32)",637500,1506.138362571856,0.033057395880203955,Compute
186,329,16,"(3125,)","(64,)",196,1506.1606896455835,0.03305690584290573,Compute
187,329,16,"(3125, 3260)","(1, 64)",637500,1506.138362571856,0.033057395880203955,Compute
188,329,16,"(3125,)","(128,)",196,1506.1606896455835,0.03305690584290573,Compute
189,329,16,"(3125, 3260)","(1, 128)",637500,1506.138362571856,0.033057395880203955,Compute
190,329,16,"(3125,)","(256,)",196,1506.1606896455835,0.03305690584290573,Compute
191,329,16,"(3125, 3260)","(1, 256)",637500,1506.1384219845995,0.033057394576186644,Compute
192,329,16,"(3125, 3260)","(2, 4)",1273845,1506.2227907855258,0.03305554291602109,Compute
193,329,16,"(3125, 3260)","(2, 8)",637704,1506.1384219845995,0.033057394576186644,Compute
194,329,16,"(3125, 3260)","(2, 16)",637500,1506.138362571856,0.033057395880203955,Compute
195,329,16,"(3125, 3260)","(2, 32)",637500,1506.138362571856,0.033057395880203955,Compute
196,329,16,"(3125, 3260)","(2, 64)",637500,1506.138362571856,0.033057395880203955,Compute
197,329,16,"(3125, 3260)","(2, 128)",637500,1506.138362571856,0.033057395880203955,Compute
198,329,16,"(3125, 3260)","(4, 2)",1274660,1506.2229096110125,0.03305554030827894,Compute
199,329,16,"(3125, 3260)","(4, 4)",637330,1506.138362571856,0.033057395880203955,Compute
200,329,16,"(3125, 3260)","(4, 8)",636923,1506.1383031591129,0.03305739718422137,Compute
201,329,16,"(3125, 3260)","(4, 16)",636719,1506.1383031591129,0.03305739718422137,Compute
202,329,16,"(3125, 3260)","(4, 32)",636719,1506.1383031591129,0.03305739718422137,Compute
203,329,16,"(3125, 3260)","(4, 64)",636719,1506.1383031591129,0.03305739718422137,Compute
204,329,16,"(3125, 3260)","(8, 1)",1274660,1506.2229096110125,0.03305554030827894,Compute
205,329,16,"(3125, 3260)","(8, 2)",637330,1506.138362571856,0.033057395880203955,Compute
206,329,16,"(3125, 3260)","(8, 4)",637330,1506.138362571856,0.033057395880203955,Compute
207,329,16,"(3125, 3260)","(8, 8)",636923,1506.1383031591129,0.03305739718422137,Compute
208,329,16,"(3125, 3260)","(8, 16)",636719,1506.1383031591129,0.03305739718422137,Compute
209,329,16,"(3125, 3260)","(8, 32)",636719,1506.1383031591129,0.03305739718422137,Compute
210,329,16,"(3125, 3260)","(16, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
211,329,16,"(3125, 3260)","(16, 2)",637330,1506.138362571856,0.033057395880203955,Compute
212,329,16,"(3125, 3260)","(16, 4)",637330,1506.138362571856,0.033057395880203955,Compute
213,329,16,"(3125, 3260)","(16, 8)",636923,1506.1383031591129,0.03305739718422137,Compute
214,329,16,"(3125, 3260)","(16, 16)",636719,1506.1383031591129,0.03305739718422137,Compute
215,329,16,"(3125, 3260)","(32, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
216,329,16,"(3125, 3260)","(32, 2)",637330,1506.138362571856,0.033057395880203955,Compute
217,329,16,"(3125, 3260)","(32, 4)",637330,1506.138362571856,0.033057395880203955,Compute
218,329,16,"(3125, 3260)","(32, 8)",636923,1506.1383031591129,0.03305739718422137,Compute
219,329,16,"(3125, 3260)","(64, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
220,329,16,"(3125, 3260)","(64, 2)",637330,1506.138362571856,0.033057395880203955,Compute
221,329,16,"(3125, 3260)","(64, 4)",637330,1506.138362571856,0.033057395880203955,Compute
222,329,16,"(3125, 3260)","(128, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
223,329,16,"(3125, 3260)","(128, 2)",637330,1506.138362571856,0.033057395880203955,Compute
224,329,16,"(3125, 3260)","(256, 1)",638960,1506.1386002228294,0.03305739066413532,Compute
225,329,32,"(3125,)","(8,)",391,1506.4278072914285,0.03305104423916678,Compute
226,329,32,"(3125, 3260)","(1, 8)",1275000,1506.3919982784157,0.033051829908019636,Compute
227,329,32,"(3125,)","(16,)",196,1506.2675421148306,0.03305456083319382,Compute
228,329,32,"(3125, 3260)","(1, 16)",637500,1506.222906905558,0.03305554036765279,Compute
229,329,32,"(3125,)","(32,)",98,1506.1606896455835,0.03305690584290573,Compute
230,329,32,"(3125, 3260)","(1, 32)",318750,1506.1384138682358,0.033057394754328194,Compute
231,329,32,"(3125,)","(64,)",98,1506.1606896455835,0.03305690584290573,Compute
232,329,32,"(3125, 3260)","(1, 64)",318750,1506.1384138682358,0.033057394754328194,Compute
233,329,32,"(3125,)","(128,)",98,1506.1606896455835,0.03305690584290573,Compute
234,329,32,"(3125, 3260)","(1, 128)",318750,1506.1384138682358,0.033057394754328194,Compute
235,329,32,"(3125,)","(256,)",98,1506.1606896455835,0.03305690584290573,Compute
236,329,32,"(3125, 3260)","(1, 256)",318750,1506.1384138682358,0.033057394754328194,Compute
237,329,32,"(3125, 3260)","(2, 4)",1273845,1506.3917606274426,0.03305183512233357,Compute
238,329,32,"(3125, 3260)","(2, 8)",637704,1506.2230257310443,0.03305553775991105,Compute
239,329,32,"(3125, 3260)","(2, 16)",318852,1506.1384138682358,0.033057394754328194,Compute
240,329,32,"(3125, 3260)","(2, 32)",318750,1506.1384138682358,0.033057394754328194,Compute
241,329,32,"(3125, 3260)","(2, 64)",318750,1506.1384138682358,0.033057394754328194,Compute
242,329,32,"(3125, 3260)","(2, 128)",318750,1506.1384138682358,0.033057394754328194,Compute
243,329,32,"(3125, 3260)","(4, 2)",1274660,1506.3919982784157,0.033051829908019636,Compute
244,329,32,"(3125, 3260)","(4, 4)",637330,1506.222906905558,0.03305554036765279,Compute
245,329,32,"(3125, 3260)","(4, 8)",319056,1506.1385326937225,0.03305739214629385,Compute
246,329,32,"(3125, 3260)","(4, 16)",318852,1506.1384138682358,0.033057394754328194,Compute
247,329,32,"(3125, 3260)","(4, 32)",318750,1506.1384138682358,0.033057394754328194,Compute
248,329,32,"(3125, 3260)","(4, 64)",318750,1506.1384138682358,0.033057394754328194,Compute
249,329,32,"(3125, 3260)","(8, 1)",1274660,1506.3919982784157,0.033051829908019636,Compute
250,329,32,"(3125, 3260)","(8, 2)",637330,1506.222906905558,0.03305554036765279,Compute
251,329,32,"(3125, 3260)","(8, 4)",318665,1506.1384138682358,0.033057394754328194,Compute
252,329,32,"(3125, 3260)","(8, 8)",318665,1506.1384138682358,0.033057394754328194,Compute
253,329,32,"(3125, 3260)","(8, 16)",318461,1506.1382950427492,0.03305739736236295,Compute
254,329,32,"(3125, 3260)","(8, 32)",318360,1506.1382950427492,0.03305739736236295,Compute
255,329,32,"(3125, 3260)","(16, 1)",638960,1506.223382207504,0.03305552993668827,Compute
256,329,32,"(3125, 3260)","(16, 2)",319480,1506.138651519209,0.03305738953825992,Compute
257,329,32,"(3125, 3260)","(16, 4)",318665,1506.1384138682358,0.033057394754328194,Compute
258,329,32,"(3125, 3260)","(16, 8)",318665,1506.1384138682358,0.033057394754328194,Compute
259,329,32,"(3125, 3260)","(16, 16)",318461,1506.1382950427492,0.03305739736236295,Compute
260,329,32,"(3125, 3260)","(32, 1)",319480,1506.138651519209,0.03305738953825992,Compute
261,329,32,"(3125, 3260)","(32, 2)",319480,1506.138651519209,0.03305738953825992,Compute
262,329,32,"(3125, 3260)","(32, 4)",318665,1506.1384138682358,0.033057394754328194,Compute
263,329,32,"(3125, 3260)","(32, 8)",318665,1506.1384138682358,0.033057394754328194,Compute
264,329,32,"(3125, 3260)","(64, 1)",319480,1506.138651519209,0.03305738953825992,Compute
265,329,32,"(3125, 3260)","(64, 2)",319480,1506.138651519209,0.03305738953825992,Compute
266,329,32,"(3125, 3260)","(64, 4)",318665,1506.1384138682358,0.033057394754328194,Compute
267,329,32,"(3125, 3260)","(128, 1)",319480,1506.138651519209,0.03305738953825992,Compute
268,329,32,"(3125, 3260)","(128, 2)",319480,1506.138651519209,0.03305738953825992,Compute
269,329,32,"(3125, 3260)","(256, 1)",319480,1506.138651519209,0.03305738953825992,Compute
270,63,8,"(3260,)","(8,)",408,1506.6824470282093,0.03304545838448188,"Launch_Tax, Compute"
271,63,8,"(3260,)","(16,)",408,1506.6824470282093,0.03304545838448188,"Launch_Tax, Compute"
272,63,8,"(3260,)","(32,)",408,1506.6824470282093,0.03304545838448188,"Launch_Tax, Compute"
273,63,8,"(3260,)","(64,)",408,1506.6824470282093,0.03304545838448188,"Launch_Tax, Compute"
274,63,8,"(3260,)","(128,)",408,1506.7720949319003,0.03304349229015305,"Launch_Tax, Compute"
275,63,8,"(3260,)","(256,)",408,1506.7720949319003,0.03304349229015305,"Launch_Tax, Compute"
276,63,16,"(3260,)","(8,)",408,1506.7720949319003,0.03304349229015305,"Launch_Tax, Compute"
277,63,16,"(3260,)","(16,)",204,1506.6952538715936,0.03304517749953915,"Launch_Tax, Compute"
278,63,16,"(3260,)","(32,)",204,1506.6952538715936,0.03304517749953915,"Launch_Tax, Compute"
279,63,16,"(3260,)","(64,)",204,1506.6952538715936,0.03304517749953915,"Launch_Tax, Compute"
280,63,16,"(3260,)","(128,)",204,1506.6952538715936,0.03304517749953915,"Launch_Tax, Compute"
281,63,16,"(3260,)","(256,)",204,1506.6952538715936,0.03304517749953915,"Launch_Tax, Compute"
282,63,32,"(3260,)","(8,)",408,1506.9513907392823,0.03303956080326814,"Launch_Tax, Compute"
